rowid,region,customer,xb_01,xb_02,xb_03,xn_01,xn_02,xn_03,xa_01,xa_02,xa_03,xb_04,xb_05,xb_06,xb_07,xb_08,xn_04,xn_05,xn_06,xn_07,xn_08,xa_04,xa_05,xa_06,xa_07,xa_08,xw_01,xw_02,xw_03,xs_01,xs_02,xs_03,xs_04,xs_05,xs_06
351,YY,B,-2,-2,-2,-1,-1,-1,2,2,2,-0.5,-0.5,-0.5,1,-2,-0.333333333,-0.333333333,-0.333333333,1,-1,0.5,0.5,0.5,4,-1,74,74,74,0.063660372,0.063660372,0.063660372,0.22644445,0.22644445,0.22644445
142,XX,B,5.117647059,8,1,2.764705882,7,0,10.76470588,18,-1,1.47254902,0.5,2.666666667,2.411764706,0.470588235,1.053921569,0,2.5,2.058823529,-0.176470588,3.462745098,-0.5,6.5,6.117647059,1.117647059,67.82352941,30,101,0.285984058,0.042940103,0.625942409,0.285738171,0.010730249,0.54129012
420,YY,B,2,2,2,1,1,1,7,7,7,1,1,1,1,1,0.448484848,1,1,1,1,2.333333333,2.333333333,2.333333333,3,2,21,21,21,0.452909097,0.452909097,0.452909097,0.389467617,0.389467617,0.389467617
446,YY,B,3.6875,9,-1,1.40625,6,-2,8.34375,20,-3,1.531696429,-1,5,2.15625,0.96875,0.667782738,-2,6,1.375,-0.125,3.759895833,-3,13,5.0625,2.375,47.33333333,0,98,0.284526776,-0.214950657,0.795961409,0.275748195,0.020832425,0.617095853
456,YY,B,1,1,1,0,0,0,0,0,0,0.25,0.25,0.25,1,-2,2,0,0,1,-1,0,0,0,3,-5,80,80,80,0.073920501,0.073920501,0.073920501,0.247724605,0.247724605,0.247724605
177,XX,G,3.75,10,0,0.916666667,4,-2,8.416666667,19,1,2.281944444,0,10,3.083333333,1.583333333,2,-0.666666667,4,1.333333333,-0.083333333,5.090277778,0.333333333,19,6.25,3.75,51.69230769,16,94,0.142018274,-0.274687288,0.629471607,0.312664288,0.0625,0.689307104
184,XX,G,3.5,6,1,2,3,1,10,17,3,1.1,1,1.2,1.5,1,1,1,1,1,1,2.916666667,2.833333333,3,4.5,2,16.66666667,0,41,0.213854133,0,0.3915624,0.202123401,0.202123401,0.202123401
192,XX,G,3.5,7,1,1.375,5,-2,5.5,9,3,1.09375,0.25,2.333333333,1.75,0.375,0.4375,-0.5,1.666666667,1.5,-0.5,2.1,1,3.5,4,0.5,61.2,25,108,0.130281808,-0.141422584,0.377946086,0.214186379,0.001592713,0.324665134
198,XX,G,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,0,0,0,0,0,22,22,22,0.17222296,0.17222296,0.17222296,0.1875,0.1875,0.1875
850,ZZ,G,8,8,8,6,6,6,9,9,9,1.6,1.6,1.6,4,0,1.2,1.2,1.2,3,-1,1.8,1.8,1.8,5,-2,89,89,89,0.282815096,0.282815096,0.282815096,0.291123739,0.291123739,0.291123739
867,ZZ,G,-1,-1,-1,-2,-2,-2,5,5,5,-0.25,-0.25,-0.25,1,-1,-0.666666667,-0.666666667,-0.666666667,1,-2,1,1,1,2,-2,63,63,63,-0.187489142,-0.187489142,-0.187489142,0.460452041,0.460452041,0.460452041
889,ZZ,G,4,5,3,4,5,3,11.5,12,11,1.208333333,0.75,1.666666667,2,0.5,1.133333333,0.6,1.666666667,1.5,0,4.1,2.2,6,7,1,95,94,96,0.243634837,0.216470573,0.270799102,0.23393133,0.173712162,0.294150498
898,ZZ,G,2,3,1,-0.5,0,-1,5.5,12,-1,1,1,1,1,1,-0.5,-1,0,0,-1,1.75,-0.5,4,3,0.5,44,43,45,-0.039158294,-0.2679115,0.189594912,0.337627591,0.248548454,0.426706728
910,ZZ,G,4,4,4,0,0,0,7,7,7,1,1,1,1,1,0,0,0,1,-2,1.75,1.75,1.75,3,-1,67,67,67,0.205525732,0.205525732,0.205525732,0.180639049,0.180639049,0.180639049
926,ZZ,G,3,3,3,0.666666667,1,0,5.666666667,7,4,1.166666667,1,1.5,2.666666667,-0.333333333,0.444444444,0,1,1.333333333,-0.666666667,2.111111111,2,2.333333333,4,0,26.2,0,65,0.355594651,0,0.74313525,0.534053988,0.393729068,0.606758035
927,ZZ,G,4,4,4,1,1,1,8,8,8,1.333333333,1.333333333,1.333333333,2,1,1,1,1,1,1,2.666666667,2.666666667,2.666666667,4,2,18,16,20,0.178282129,-0.1625,0.519064258,0.444625435,0.444625435,0.444625435
970,ZZ,G,5,9,3,2,3,1,8.666666667,12,3,1.433333333,1,1.8,2.333333333,0.666666667,0,0.166666667,1.5,1.333333333,0,2.416666667,1.5,3,4,1,62,33,97,0.347198218,0.252699748,0.461174262,0.370332737,0.229132845,0.647993743
1102,ZZ,M,6,6,6,2,2,2,13,13,13,3,3,3,5,1,1,1,1,3,-1,6.5,6.5,6.5,13,0,102,102,102,0.127339804,0.127339804,0.127339804,0.286935784,0.286935784,0.286935784
1111,ZZ,M,2,2,2,0,0,0,3,3,3,0.333333333,0.333333333,0.333333333,2,-1,0,0,0,1,-1,1,1,1,4,-2,60,60,60,0.021067347,0.021067347,0.021067347,0.56782195,0.56782195,0.56782195
1115,ZZ,M,3,3,3,1,1,1,13,13,13,0.75,0.75,0.75,2,-1,0.5,0.5,0.5,1,0,2.6,2.6,2.6,6,0,80,80,80,0.069275522,0.069275522,0.069275522,0.350193491,0.350193491,0.350193491
1173,ZZ,M,3.333333333,5,2,1.333333333,2,1,5.333333333,6,5,1.25,1,1.5,2.333333333,0.333333333,0.444444444,0.333333333,0.666666667,1.666666667,-1.333333333,2.388888889,1.666666667,3,4.666666667,-0.333333333,49.33333333,28,68,0.251200486,0.060771255,0.38449687,0.32162528,0.179187722,0.410410442
1209,ZZ,M,8,8,8,5,5,5,12,12,12,1.6,1.6,1.6,3,0,1.25,1.25,1.25,2,1,3,3,3,5,0,72,72,72,0.368759732,0.368759732,0.368759732,0.403986618,0.403986618,0.403986618
1214,ZZ,M,5,5,5,4,4,4,10.5,12,9,1.333333333,1,1.666666667,2,0,1.066666667,0.8,1.333333333,2,0,2.9,1.8,4,5,-0.5,38,17,59,0.463570364,0.44805367,0.479087057,0.366445961,0.169995593,0.562896329
1217,ZZ,M,2,2,2,3,3,3,8,8,8,0.4,0.4,0.4,2,-1,1,1,1,3,-1,2,2,2,6,-1,96,96,96,0.075036157,0.075036157,0.075036157,0.382458862,0.382458862,0.382458862
72,XX,Other,2.272727273,6,-3,0.909090909,5,-3,5.454545455,9,-1,1.181818182,-1,3,1.636363636,0.727272727,0.331818182,-1.5,1.5,0.909090909,-0.181818182,2.833333333,-1,6,3.909090909,1.545454545,42.84615385,0,98,0.190502135,-0.206291697,0.485353894,0.279943657,0.144337567,0.516397779
75,XX,Other,4,7,1,2,4,0,8,15,1,1.041666667,0.333333333,1.75,2.5,0.5,0.4,0,0.8,1,-0.5,2.041666667,0.333333333,3.75,6,-1,57,40,74,0.192225546,-0.144651794,0.529102886,0.451153464,0.414959098,0.48734783
157,XX,Other,3.857142857,9,1,0.428571429,5,-7,7.714285714,17,-1,1.197619048,0.2,2,2.214285714,0.357142857,0.148809524,-1.75,1.333333333,0.928571429,-0.857142857,2.791666667,-0.25,6,4.142857143,1.071428571,67.92857143,32,101,0.159534164,-0.108111554,0.377925045,0.233570241,0.065309574,0.531780879
208,XX,Other,3,3,3,-1,-1,-1,5,5,5,1,1,1,2,0,-0.333333333,-0.333333333,-0.333333333,1,-1,1.25,1.25,1.25,4,-3,97,97,97,0.144597206,0.144597206,0.144597206,0.275692147,0.275692147,0.275692147
218,XX,Other,0.5,2,-1,1,1,1,2,3,1,0.033333333,-0.333333333,0.4,1,-0.5,0.75,0.5,1,1,0.5,0.85,0.2,1.5,3.5,-1.5,69,67,71,0.016475629,-0.005158819,0.038110076,0.160489222,0.149442551,0.171535892
219,XX,Other,3.5625,13,-1,0.9375,6,-2,7.125,19,0,1.414583333,-0.25,7,2.25,0.5,0.545833333,-0.666666667,4,1.375,-0.375,2.751041667,0,11,4.3125,0.8125,53.94117647,14,103,0.227534141,-0.05641356,0.684475998,0.214703688,0,0.793804132
241,XX,Other,3.5,9,0,2.333333333,7,0,7.166666667,14,2,1.216666667,0,2.5,2.166666667,0.5,1,0,3.5,2,-0.166666667,4.35,1.5,14,5,4,67,33,94,0.24368583,0.097658627,0.38805772,0.29430292,0.101407769,0.59529238
244,XX,Other,6,6,6,4,4,4,9,9,9,0.857142857,0.857142857,0.857142857,2,-1,0.571428571,0.571428571,0.571428571,1,-1,1.5,1.5,1.5,6,-3,99,99,99,0.177228094,0.177228094,0.177228094,0.429475086,0.429475086,0.429475086
300,XX,Other,3,4,2,3,5,-1,12.33333333,19,5,1.25,0.75,2,1.666666667,1,0.555555556,-1,1.666666667,0.666666667,0.333333333,4.116666667,2.6,5,6,3.333333333,48.66666667,16,66,0.323101834,0.179248481,0.515625,0.239364194,0.23378461,0.244943778
352,YY,Other,1.5,3,0,2,3,1,3,5,1,0.3,0,0.6,1.5,-1,0.6,0.2,1,2,-0.5,0.75,0.5,1,2.5,-1.5,79.5,61,98,0.145942456,0.117233401,0.174651511,0.245404406,0.171674084,0.319134727
371,YY,Other,3.5,6,-1,1.5,5,-2,10.25,17,6,1.139583333,-0.333333333,3,2.25,-0.125,0.566666667,-0.4,2,1.625,-0.625,2.945833333,1.5,5.5,4.625,1.25,74.125,26,103,0.240985127,0.118010633,0.379717206,0.241418361,0.086151069,0.478190913
376,YY,Other,3.622641509,9,-1,1.566037736,8,-2,8.283018868,18,-2,1.188993711,-1,3,2.075471698,0.188679245,0.605974843,-1,2,1.396226415,-0.264150943,2.754716981,-2,9,4.339622642,1.037735849,54.70689655,0,102,0.213265708,-0.125,0.55765,0.295244016,0,0.90961573
462,YY,Other,3.285714286,5,1,1.428571429,4,-2,8.714285714,13,3,1.035714286,0.166666667,1.666666667,2,0,0.611904762,-0.4,1.333333333,1.428571429,-0.142857143,2.152380952,1.4,3.25,4.571428571,0,73.875,32,102,0.200161945,0.127808026,0.350784326,0.332734502,0.177559726,0.776708255
476,YY,Other,-1,-1,-1,-2,-2,-2,3,3,3,-0.333333333,-0.333333333,-0.333333333,1,-1,-0.5,-0.5,-0.5,1,-2,0.75,0.75,0.75,4,-2,81,81,81,-0.126883373,-0.126883373,-0.126883373,0.176803078,0.176803078,0.176803078
484,YY,Other,3,3,3,-1,-1,-1,10,10,10,1,1,1,1,1,-1,-1,-1,-1,-1,3.333333333,3.333333333,3.333333333,4,3,39,39,39,0.197144416,0.197144416,0.197144416,0.089834106,0.089834106,0.089834106
510,YY,Other,2,7,-3,0.555555556,3,-3,4,10,-4,0.648148148,-3,3,1.888888889,-0.666666667,0.287037037,-1.5,1.5,0.888888889,-0.111111111,1.353703704,-4,4,3.444444444,-0.666666667,64.44444444,32,100,0.084260106,-0.249584555,0.370761949,0.411319198,0.213594681,0.585975075
520,YY,Other,1.833333333,5,-3,1.666666667,3,-2,7.166666667,18,-3,0.736111111,-0.5,2,2.333333333,-1,0.577777778,-0.333333333,1.5,1.666666667,-0.833333333,2.433333333,-0.5,6,4.833333333,-0.166666667,80.66666667,36,97,0.16369117,-0.227913146,0.31971148,0.330592139,0.236360776,0.488294485
537,YY,Other,3.25,7,-1,2.25,4,0,11.5,19,4,0.866666667,-0.2,1.666666667,2.25,-0.75,0.616666667,0,1,2.25,-1,3.864583333,1,6.333333333,5.5,1.75,63,25,94,0.210067821,-0.027970073,0.547609977,0.445304424,0.297651218,0.546973269
545,YY,Other,1.823529412,7,-5,0.411764706,3,-3,5.529411765,17,-2,0.55,-5,3,1.411764706,-0.235294118,0.048039216,-2,1.5,0.647058824,-0.529411765,2.034313725,-2,6,3.352941176,0.705882353,67.22222222,5,103,0.083972022,-0.244334554,0.782623792,0.282669772,0.057982485,0.489057054
569,YY,Other,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.5,12,41,-0.018008833,-0.028867513,-0.007150153,0.155701567,0.155701567,0.155701567
578,YY,Other,3.923076923,10,-2,1.076923077,6,-2,10.30769231,30,-2,1.019230769,-1,2.5,2.230769231,-0.307692308,0.112820513,-2,1.5,1.076923077,-0.846153846,2.912820513,-2,7.5,5,1.153846154,68,32,94,0.210288067,-0.205370126,0.476853117,0.268964955,0.047526086,0.519133459
596,YY,Other,2,2,2,4,4,4,6,6,6,1,1,1,1,1,2,2,2,3,1,2,2,2,2,2,56,56,56,-0.104655166,-0.104655166,-0.104655166,0.265934411,0.265934411,0.265934411
599,YY,Other,1,1,1,3,3,3,6,6,6,0.333333333,0.333333333,0.333333333,2,-1,1.5,1.5,1.5,2,1,3,3,3,5,1,54,54,54,0.009506367,0.009506367,0.009506367,0.445745349,0.445745349,0.445745349
